year,quarter,origin_city,destination_city,distance_miles,passengers,avg_fare,largest_carrier,largest_carrier_market_share,largest_carrier_fare,lowest_fare_carrier,lowest_fare_carrier_share,lowest_fare,year_quarter,fare_per_mile
2008,2,"Birmingham, AL","Philadelphia, PA",772,180.43,180.16,US,0.57,188.51,DL,0.18,184.62,2008_Q2,0.2334
2008,2,"Knoxville, TN","Miami, FL (Metropolitan Area)",724,179.89,175.7,G4,0.53,94.42,G4,0.53,94.42,2008_Q2,0.2427
2008,2,"Omaha, NE","Tampa, FL (Metropolitan Area)",1190,179.67,164.2,AA,0.34,155.58,NW,0.16,138.78,2008_Q2,0.138
2008,2,"Buffalo, NY","Houston, TX",1297,179.67,234.43,WN,0.21,228.85,NW,0.13,185.28,2008_Q2,0.1807
2008,2,"Columbus, OH","Raleigh/Durham, NC",361,179.67,165.42,AA,0.45,149.39,AA,0.45,149.39,2008_Q2,0.4582
2008,2,"Albuquerque, NM","Tampa, FL (Metropolitan Area)",1497,179.45,168.24,WN,0.6,165.37,AA,0.14,154.51,2008_Q2,0.1124
2008,2,"Las Vegas, NV","Sioux Falls, SD",1104,179.23,143.03,G4,0.85,119.55,G4,0.85,119.55,2008_Q2,0.1296
2008,2,"Oklahoma City, OK","San Antonio, TX",407,179.12,153.15,WN,0.72,151.21,WN,0.72,151.21,2008_Q2,0.3763
2008,2,"Albuquerque, NM","Atlanta, GA (Metropolitan Area)",1269,178.9,287.45,DL,0.49,331.01,F9,0.2,218.63,2008_Q2,0.2265
2008,2,"Albany, NY","San Francisco, CA (Metropolitan Area)",2559,178.68,273.89,UA,0.36,305.84,WN,0.31,230.51,2008_Q2,0.107
2008,2,"Chicago, IL","Wichita, KS",589,177.91,259.26,AA,0.53,245.89,AA,0.53,245.89,2008_Q2,0.4402
2008,2,"Charlotte, NC","Jacksonville, FL",329,177.58,231.04,US,0.78,240.04,FL,0.08,158.43,2008_Q2,0.7022
2008,2,"Cincinnati, OH","Denver, CO",1069,177.25,296.11,DL,0.56,294.98,DL,0.56,294.98,2008_Q2,0.277
2008,3,"Los Angeles, CA (Metropolitan Area)","San Francisco, CA (Metropolitan Area)",372,20082.71,113.96,WN,0.66,113.19,WN,0.66,113.19,2008_Q3,0.3063
2008,3,"Miami, FL (Metropolitan Area)","New York City, NY (Metropolitan Area)",1139,12649.13,153.88,B6,0.3,153.4,DL,0.13,142.64,2008_Q3,0.1351
2008,3,"Los Angeles, CA (Metropolitan Area)","New York City, NY (Metropolitan Area)",2510,10830.32,329.52,AA,0.22,386.14,B6,0.18,250.87,2008_Q3,0.1313
2008,3,"New York City, NY (Metropolitan Area)","Orlando, FL",989,10209.02,148.19,B6,0.42,147.26,B6,0.42,147.26,2008_Q3,0.1498
2008,3,"Chicago, IL","New York City, NY (Metropolitan Area)",773,9291.73,210.99,AA,0.36,217.8,AA,0.36,217.8,2008_Q3,0.2729
2008,3,"New York City, NY (Metropolitan Area)","San Francisco, CA (Metropolitan Area)",2619,8015.54,334.53,B6,0.22,249.61,B6,0.22,249.61,2008_Q3,0.1277
2008,3,"Boston, MA (Metropolitan Area)","Washington, DC (Metropolitan Area)",418,7438.36,157.91,WN,0.36,111.39,WN,0.36,111.39,2008_Q3,0.3778
2008,3,"Atlanta, GA (Metropolitan Area)","New York City, NY (Metropolitan Area)",795,7388.26,171.77,DL,0.51,182.55,FL,0.28,141.4,2008_Q3,0.2161
2008,3,"Las Vegas, NV","Los Angeles, CA (Metropolitan Area)",236,7141.41,114.07,WN,0.65,117.34,US,0.15,112.51,2008_Q3,0.4833
2008,3,"Los Angeles, CA (Metropolitan Area)","Seattle, WA",978,6863.26,159.23,AS,0.6,165.77,VX,0.1,124.8,2008_Q3,0.1628
2008,3,"San Diego, CA","San Francisco, CA (Metropolitan Area)",447,6806.3,109.63,WN,0.71,111.21,VX,0.11,89.58,2008_Q3,0.2453
2008,3,"Las Vegas, NV","San Francisco, CA (Metropolitan Area)",414,6140.76,118.74,WN,0.54,123.44,VX,0.16,95.24,2008_Q3,0.2868
2008,3,"Los Angeles, CA (Metropolitan Area)","Sacramento, CA",404,5760.76,109.73,WN,0.89,110.37,B6,0.06,90.26,2008_Q3,0.2716
2008,3,"San Francisco, CA (Metropolitan Area)","Seattle, WA",696,5691.95,139.78,AS,0.47,139.12,VX,0.11,111.32,2008_Q3,0.2008
2008,3,"Chicago, IL","Los Angeles, CA (Metropolitan Area)",1751,5401.41,251.72,AA,0.34,248.32,WN,0.22,219.98,2008_Q3,0.1438
2008,3,"Los Angeles, CA (Metropolitan Area)","Phoenix, AZ",370,5252.17,115.62,WN,0.71,112.96,WN,0.71,112.96,2008_Q3,0.3125
2008,3,"Chicago, IL","Washington, DC (Metropolitan Area)",622,5188.47,191.87,UA,0.48,221.75,WN,0.31,153.2,2008_Q3,0.3085
2008,3,"Los Angeles, CA (Metropolitan Area)","Washington, DC (Metropolitan Area)",2329,4960.1,270.25,UA,0.29,343.89,VX,0.11,210.19,2008_Q3,0.116
2008,3,"Las Vegas, NV","New York City, NY (Metropolitan Area)",2283,4936.3,246.81,CO,0.31,263.62,B6,0.25,231.78,2008_Q3,0.1081
2008,3,"Atlanta, GA (Metropolitan Area)","Washington, DC (Metropolitan Area)",576,4353.36,178.01,DL,0.63,190.86,FL,0.28,143.9,2008_Q3,0.309
2008,3,"New York City, NY (Metropolitan Area)","Tampa, FL (Metropolitan Area)",1048,4295.43,154.7,B6,0.3,148.72,B6,0.3,148.72,2008_Q3,0.1476
2008,3,"Orlando, FL","Washington, DC (Metropolitan Area)",787,4270.32,135.58,WN,0.35,123.02,FL,0.25,111.27,2008_Q3,0.1723
2008,3,"Boston, MA (Metropolitan Area)","Chicago, IL",867,4210.76,191.56,UA,0.36,205.44,WN,0.17,178.31,2008_Q3,0.2209
2008,3,"Denver, CO","Los Angeles, CA (Metropolitan Area)",862,4192.06,169.67,UA,0.41,204.9,F9,0.23,139.56,2008_Q3,0.1968
2008,3,"New York City, NY (Metropolitan Area)","West Palm Beach/Palm Beach, FL",1077,3966.52,148.8,B6,0.41,147.93,WN,0.12,146.84,2008_Q3,0.1382
2008,3,"Chicago, IL","San Francisco, CA (Metropolitan Area)",1855,3946.41,262.72,UA,0.32,328.25,WN,0.31,206.79,2008_Q3,0.1416
2008,3,"San Francisco, CA (Metropolitan Area)","Washington, DC (Metropolitan Area)",2457,3942.5,308.9,UA,0.31,458.11,B6,0.14,222.13,2008_Q3,0.1257
2008,3,"Miami, FL (Metropolitan Area)","Washington, DC (Metropolitan Area)",946,3875.54,148.54,AA,0.26,171.89,FL,0.17,114.87,2008_Q3,0.157
2008,3,"Boston, MA (Metropolitan Area)","New York City, NY (Metropolitan Area)",209,3833.8,192.29,DL,0.34,175.38,B6,0.15,110.57,2008_Q3,0.92
2008,3,"Dallas/Fort Worth, TX","Los Angeles, CA (Metropolitan Area)",1246,3832.39,245.86,AA,0.75,250.36,DL,0.01,194.46,2008_Q3,0.1973
2008,3,"Boston, MA (Metropolitan Area)","Orlando, FL",1142,3725.21,140.07,WN,0.41,134.88,WN,0.41,134.88,2008_Q3,0.1227
2008,3,"Dallas/Fort Worth, TX","Houston, TX",247,3519.23,123.39,WN,0.65,120.79,WN,0.65,120.79,2008_Q3,0.4996
2008,3,"Boston, MA (Metropolitan Area)","San Francisco, CA (Metropolitan Area)",2704,3491.52,315.61,UA,0.33,380.92,B6,0.25,260.18,2008_Q3,0.1167
2008,3,"New York City, NY (Metropolitan Area)","Washington, DC (Metropolitan Area)",265,3446.63,169.06,DL,0.34,170.58,WN,0.14,113.77,2008_Q3,0.638
2008,3,"Orlando, FL","Philadelphia, PA",861,3417.06,116.57,WN,0.37,108.81,FL,0.27,107.93,2008_Q3,0.1354
2008,3,"Dallas/Fort Worth, TX","New York City, NY (Metropolitan Area)",1428,3414.56,336.43,AA,0.6,371.53,CO,0.14,345.94,2008_Q3,0.2356
2008,3,"Boston, MA (Metropolitan Area)","Los Angeles, CA (Metropolitan Area)",2611,3359.45,302.68,AA,0.24,356.57,B6,0.2,254.85,2008_Q3,0.1159
2008,3,"Denver, CO","San Francisco, CA (Metropolitan Area)",967,3298.58,177.63,UA,0.38,229.15,WN,0.34,138.72,2008_Q3,0.1837
2008,3,"Chicago, IL","Denver, CO",895,3284.02,169.23,UA,0.33,211.88,F9,0.2,131.66,2008_Q3,0.1891
2008,3,"Chicago, IL","Las Vegas, NV",1521,3248.04,199.91,WN,0.4,191.0,WN,0.4,191.0,2008_Q3,0.1314
2008,3,"Portland, OR","San Francisco, CA (Metropolitan Area)",569,3102.93,144.42,AS,0.42,139.23,AS,0.42,139.23,2008_Q3,0.2538
2008,3,"Denver, CO","New York City, NY (Metropolitan Area)",1659,3073.91,252.54,UA,0.39,278.31,F9,0.11,200.89,2008_Q3,0.1522
2008,3,"Chicago, IL","Dallas/Fort Worth, TX",802,3061.95,208.51,AA,0.69,211.43,WN,0.12,195.61,2008_Q3,0.26
2008,3,"Atlanta, GA (Metropolitan Area)","Chicago, IL",606,3032.6,164.38,DL,0.43,170.26,FL,0.22,137.63,2008_Q3,0.2713
2008,3,"Chicago, IL","Philadelphia, PA",678,2947.71,169.9,US,0.31,165.51,AA,0.17,157.25,2008_Q3,0.2506
2008,3,"Los Angeles, CA (Metropolitan Area)","Portland, OR",859,2947.5,185.38,AS,0.6,185.24,WN,0.17,177.91,2008_Q3,0.2158
2008,3,"Phoenix, AZ","San Francisco, CA (Metropolitan Area)",651,2940.0,158.46,WN,0.58,158.04,UA,0.11,144.47,2008_Q3,0.2434
